number_of_letter;addressee;gender;date;place;appeal;first_line;signature;volume;pages;poetry;autograph;copy;first published;printed according to
471;Великая княгиня Александра Федоровна;ж;26 ноября 1821;Берлин;;Я располагался пробыть в Берлине не более недели;Вашего Императорского Высочества покорнейший слуга Жуковский;16;139;;ГАРФ. Ф. 728. No 1117. Л. 1—1 об. Б. г.;;Памяти Жуковского. Вып. 1. С. 1—2;автограф
472;Принцесса Марианна Прусская;ж;10 января 1822;Берлин;Votre Altesse Royale;Je me considère vraiment heureux, d’avoir retarder assez longtemps mon voyage pour avoir pu recevoir cette troisième lettre de Votre Altesse Royale;Joukoffsky;16;141;;Groβherzoglich Hessischen Familienarchiv im Darmstadt. Abt. II. Kasten 21. No. 7. На франц. яз.;;Die Welt der Slaven. 1969. 14. S. 294—295. Публикация Х. Эйхштедт.;текст первой публикации
473;И. В. Гёте;м;25 февраля 1822;Петербург;Monsieur;C’était pour moi une joie bien grande et bien inattendue de recevoir la chère lettre de votre excellence et le cadeau précieux qui l’accompagnait;Joukoffsky;16;142;;РО ИРЛИ. No 27739. Л. 1. На франц. яз.;РО ИРЛИ. No 27739. Л. 2.;РА. 1870. No 10. Стб. 1817—1822. Франц. текст и перевод.;автограф
474;А. Н. Оленин;м;Вторая половина апреля (после 14) 1822;Петербург;Ваше превосходительство;Никак не умею сказать Вашему превосходительству, что стоит немецкая ученая проказа;Ж.;16;144;;РНБ. Оп. 2. No 173. 1 л. Б. д.;;РС. 1901. Публикация И. А. Бычкова.;автограф
475;П. А. Вяземский;м;Конец апреля 1822;Петербург;;Вот тебе моя новость, посвященная тебе;;16;144;;РГАЛИ. Ф. 195. Оп. 1. No 1909а. Л. 41—42. Б. д.;;Кошелев. С. 292 (фрагмент о Батюшкове);автограф
476;И. И. Козлов;м;Март — апрель 1822;Петербург;;Завтра постараюсь быть у тебя ввечеру и принести «Шильонского узника»;Ж.;16;145;;РГАЛИ. Ф. 88. Оп. 2. No 11. Л. 2. Б. д., с ошибочной атрибуцией адресата: «А. А. Воейковой»;РО ИРЛИ. No 15989. Л. 2 об. — рукою К. Я. Грота. Б. д.;РА. 1867. No 2. Стб. 824. Републикация: РА. 1886. С. 181.;автограф
477;Н. И. Гнедич;м;Апрель 1822;Петербург;Милый Николай Иванович;Милый Николай Иванович, я забыл тебя предуведомить при своем отъезде, что «Иоанна» еще находится в когтях цензуры;Твой Жуковский;16;145;;РНБ. Оп. 2. No 94. Л. 8. Б. д.;;Книжки Недели. 1896. No 1. С. 10—11. Публикация А. Ф. Онегина;автограф
478;Н. И. Гнедич;м;Конец апреля — начало мая 1822;Петербург;;Комиссии для Николая Ивановича Гнедича от чертописца Жуковского;;16;145;;РНБ. Оп. 2. No 95. Л. 11—11 об. Б. д.;РНБ. Оп. 2. No 95. Л. 36—37 — писарская;С 7. Т. 6. С. 445;автограф
479;Н. И. Гнедич;м;Начало мая 1822;Петербург;;Сергей Львович Пушкин приглашает меня нынче после обеда на чай — ни­как невозможно;Ж.;16;146;;РО ИРЛИ. Ф. 93. Оп. 4. No 11. Л. 1. Б. д.;;Литературные портфели. Время Пушкина. Пб., 1923. Ч. 1. С. 70—71. Републикация: ЖИМ. Вып. 2. С. 408;автограф
480;Н. И. Гнедич;м;Середина мая 1822;Петербург;Любезный Гандишь;Что «Узник»? Любезный Гандишь! ты теперь сделался тюремщиком;Ж.;16;146;;РНБ. Оп. 2. No 95. Л. 12—13. Б. д.;РНБ. Оп. 2. No 95. Л. 38 — писарская;С 7. Т. 6. С. 445—446;автограф
481;Н. И. Гнедич;м;Середина мая 1822;Царское село;Любезный;Любезный, благодарю тебя за присылку господина Марона;Ж.;16;147;;РНБ. Оп. 2. No 94. Л. 4—4 об. Б. д.;;Книжки Недели. 1896. No 1. С. 9—10. Публикация А. Ф. Онегина.;автограф
482;Н. И. Уткин;м;16 мая 1822;Павловск;;Я буду в Петербурге в четверг поутру и привезу к Вам мою огромную доску;Вам сердечно преданный Жуковский;16;147;;РО ИРЛИ. Ф. 234 (Плетнёв). Оп. 9. No 21. Л. 9—10. Б. д.;;РС. 1883. No 2. С. 486. Публикация Я. К. Грота;автограф
483;Н. И. Гнедич;м;Конец мая 1822;Павловск;;Мне очень жаль, что я тебя вчера не застал, любезный Гнедок, надобно бы было слово сказать о виньете;"В. Ж; Преданный тебе Жуковский";16;148;;РНБ. Оп. 2. No 95. Л. 14—15. Б. д.;РНБ. Оп. 2. No 95. Л. 39 — писарская;С 7. Т. 6. С. 446;автограф
484;Н. И. Уткин;м;Конец мая 1822;Павловск;;Доску Вашу получил и постараюсь что-нибудь и как-нибудь на ней нацара­пать;Вам преданный Жуковский;16;148;;РНБ. Оп. 2. No 169. Л. 1. Б. д.;;РС. 1901. No 7. С 109. Публикация И. А. Бычкова;автограф
485;И. И. Козлов;м;Конец мая — начало июня 1822;Павловск;;"Посылаю тебе «Оберона»; не читай его ни с кем — прочтем вместе";Жуковский;16;149;;РО ИРЛИ. Р. I. Оп. 9. No 71. Л. 65. Б. д.;РО ИРЛИ. No 15989. Л. 4 — рукою К. Я. Грота;РА. 1886. No 2. С. 182;автограф
